04-14 15:18:07.331  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 7ms
04-14 15:18:07.340  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 9ms
04-14 15:18:07.343  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:07.356  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:07.357  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:07.373  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:07.374  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:07.390  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:07.391  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 2ms
04-14 15:18:07.406  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:07.409  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:07.423  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:07.428  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 5ms
04-14 15:18:07.440  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 11ms
04-14 15:18:07.441  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:07.456  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:07.464  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 8ms
04-14 15:18:07.473  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 9ms
04-14 15:18:07.475  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:07.490  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:07.490  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:07.507  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:07.507  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:07.523  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:07.526  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 2ms
04-14 15:18:07.539  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:07.540  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:07.556  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:07.558  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 2ms
04-14 15:18:07.573  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:07.573  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:07.589  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:07.592  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:07.606  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:07.608  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 2ms
04-14 15:18:07.623  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:07.624  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:07.639  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:07.642  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:07.656  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:07.659  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:07.673  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:07.676  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 2ms
04-14 15:18:07.689  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:07.690  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:07.706  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:07.707  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:07.723  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:07.726  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:07.739  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 13ms
04-14 15:18:07.742  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:07.756  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:07.757  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:07.773  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:07.776  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:07.790  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:07.792  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 2ms
04-14 15:18:07.806  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:07.808  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 2ms
04-14 15:18:07.823  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:07.825  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 2ms
04-14 15:18:07.839  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:07.840  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:07.856  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:07.856  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 0ms
04-14 15:18:07.873  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 17ms
04-14 15:18:07.876  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:07.889  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 13ms
04-14 15:18:07.892  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:07.906  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:07.907  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:07.923  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:07.925  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:07.939  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:07.942  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:07.956  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:07.959  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:07.973  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 13ms
04-14 15:18:07.973  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:07.989  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:07.990  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:08.006  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:08.010  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 4ms
04-14 15:18:08.022  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 12ms
04-14 15:18:08.025  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 2ms
04-14 15:18:08.039  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:08.040  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:08.056  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:08.057  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:08.072  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:08.075  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:08.089  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:08.091  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 2ms
04-14 15:18:08.106  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:08.108  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 2ms
04-14 15:18:08.122  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:08.123  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:08.139  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:08.143  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:08.156  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 13ms
04-14 15:18:08.159  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:08.172  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:08.175  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:08.189  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:08.196  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:08.206  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 13ms
04-14 15:18:08.207  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 2ms
04-14 15:18:08.222  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:08.225  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:08.239  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:08.242  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:08.256  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:08.257  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:08.272  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:08.273  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
